"old","new"
"Abbildg","Abbildung"
"Abbildgn","Abbildungen"
"Abhandlg","Abhandlung"
"Abteilg","Abteilung"
"anat.","anatomischen"
"Anat.","Anatomischen"
"anatom.","anatomischen"
"Anwendg","Anwendung"
"bacteriolog.","bacteriologischen"
"Beitr.","Beitrag"
"Beobachtgn","Beobachtungen"
"Berücks.","Berücksichtigung"
"Betrachtgn","Betrachtung"
"brandenb.","brandenburgischen"
"chem.","chemischen"
"chirurg.","chirurgischen"
"Chirurg.","Chirurgischen"
"Darstellg","Darstellung"
"dermatol.","dermatologischen"
"dermatolog.","dermatologischen"
"Einteilgn","Einteilung"
"Entstehg","Entstehung"
"Entwickelg","Entwicklung"
"Erklärgn","Erklärung"
"Erkrankg","Erkrankung"
"Erkrankgn","Erkrankungen"
"Freiburg i. B.","Freiburg im Breisgau"
"geburtshülfl.","geburtshülflichen"
"Geh.","Geheimer"
"Gleichgn","Gleichung"
"gynaekolog.","gynaekologigischen"
"gynäkolog.","gynäkologischen"
"hygien.","hygienischen"
"hygien.","hygienischen"
"kgl.","königlichen"
"Königl.","Königlichen"
"Königsberg I. Pr.","Königsberg in Preußen."
"Laborat.","Laboratorium"
"m. bes.","mit besonderer"
"Marburg i. H.","Marburg in Hessen."
"med. Klinik","medizinischen Klinik"
"medicin.","medizinischen"
"medizin.","medizinischen"
"mineralog.","mineralogischen"
"pathol.","pathologischen"
"patholog.","pathologischen"
"Pharmakol.","Pharmakologischen"
"pharmakolog.","pharmakologischen"
"physikal.","physikalischen"
"physiolog.","physiologischen"
"Privatdoc.","Privatdozent"
"psychiatr.","psychiatrischen"
"sog.","sogenannter"
"städt.","städtischen"
"Univ.","Universität"
"Univers.","Universitäts"
"Vaterländ.","Vaterländischen"
"zoolog.","zoologischen"
