"university","lat","lon","territory"
"Berlin",52.5046743,13.314685,"Preußen"
"Bonn",50.726784,7.0838725,"Preußen"
"Breslau",51.1140086,17.0318827,"Preußen"
"Erlangen",49.5979151,11.0019634,"Bayern"
"Freiburg",47.9931282,7.8428222,"Baden"
"Gießen",50.5804708,8.67456,"Hessen"
"Göttingen",51.5414979,9.9350149,"Preußen"
"Greifswald",54.1196983,13.3307478,"Preußen"
"Halle",51.4861352,11.9669512,"Preußen"
"Heidelberg",49.4106635,8.703974,"Baden"
"Jena",50.9294363,11.5870839,"Sachsen-Weimar-Eisenach"
"Kiel",54.3434701,10.1124445,"Preußen"
"Königsberg",54.713908,20.510008,"Preußen"
"Leipzig",51.3385771,12.3758812,"Sachsen"
"Marburg",50.8101858,8.771376,"Preußen"
"München",48.1309907,11.4384933,"Bayern"
"Münster",51.9632337,7.6109779,"Preußen"
"Rostock",54.0828277,12.0965085,"Mecklenburg-Schwerin"
"Strassburg",48.5800963,7.7322121,"Elsaß-Lothringen"
"Tübingen",48.5252748,9.0578432,"Württemberg"
"Würzburg",49.7881848,9.9326797,"Bayern"
