id,year,Titel,novel,num_phrases
22552378,1890,Der Trödelvertrag nach gemeinem Recht,1,2
22552379,1890,Die Liquidation der Offenen Handelsgesellschaft in ihrer Entwicklung im französischen Recht,1,4
22552384,1890,Die rechtliche Natur des Vertrages über die Versicherung des eigenen Lebens mit Bezug auf das Recht des Begünstigten,1,7
22552386,1890,Die Klagen der Mitbesitzer gegen einander,1,3
22552550,1890,Ein Beitrag zur Kenntnis organischer Selenverbindungen.,1,3
22552551,1890,Beitrag zur Kenntnis des Monophenylthioharnstoffs und der Imidocarbaminthiosäureester,1,4
22552553,1890,Friedrichs des Grossen Massnahmen zur Hebung der wirtschaftlichen Lage Westpreussens,1,5
22552554,1890,Die Burg im „Claris und Laris“ und im „Escanor“.,1,4
22552555,1890,König Sigmund und Kurfürst Friedrich I. von Brandenburg. 1409-1426,1,3
22552556,1890,"Über die Anwendung der Gyldén'schen absoluten Störungstheorie auf die Breitenstörungen einer gewissen Klasse kleiner Planeten, nebst numerischem Beispiel für den Planeten (46) Hestia",1,7
22552557,1890,Über Adenin und Hypoxanthin,1,2
22552558,1890,Beiträge zur Anatomie der Laubmooskapsel,1,3
22552559,1890,Über die Einwirkung von Eisenchlorid auf Metallsulfide.,1,3
22552560,1890,"Die aus dem Neufranzösischen erkennbaren, im Vulgärlatein und im vorlitterarischen Französisch eingetretenen Wandlungen auf dem Gebiete der lateinischen Nominalsuffixe",1,5
22552561,1890,Vigilius und Justinian im Dreikapitelstreit. Ein Beitrag zur älteren Papstgeschichte,1,4
22552562,1890,Text-Gestalt und Text-Kritik der Chester Plays.,1,3
22552563,1890,Beiträge zur Kenntnis der Furfuranverbindungen,1,3
22552564,1890,Studien zu Hans Sachs. I. Hans Sachs und die Heldensage Abschnitt 1 und 7 (erster Theil),1,3
22552565,1890,Die italienische Geistlichkeit des 10. und 11. Jahrhunderts in ihrem Verhältnise zur Kirche (mit besonderer Berücksichtigung der Entwickelung der Simonie). Ein Beitrag zu ihrer Kultur- und Sittengeschichte,1,8
22552566,1890,Über einige Abkömmlinge des Desoxybenzoins,1,2
22552568,1890,Über Glycerinbestimmung in vergohrenen Getränken.,1,2
22552570,1890,Die Erkenntnistheorie Herbert Spencer's; ihre Stellung zum Empirismus und Transcendentalismus.,1,4
22552571,1890,Über einige Derivate des Trimethylendiamins,1,2
22552573,1890,Die Ursperger Chronik und ihr Verfasser,1,2
22552575,1890,Über Schwefelcyan- und Selencyanverbindungen der Kohlenwasserstoffe aus der Reihe CnH2n.,1,3
22552576,1890,Über einige neue Abkömmlinge des Salicylaldehyd,1,2
22552577,1890,Grammatik der ältesten Mundart Merseburgs. I. Der Vokalismus,1,4
22552578,1890,Der Substanz-Begriff von Abälard bis Spinoza,1,3
22552579,1890,Der wortschatz der sogenannten ersten schlesischen dichterschule in wortbildung und wortzusammensetzung dargestellt. I. Teil: Wortbildung,1,2
22552580,1890,Verbrechen und Strafen in England während der Zeit von Wilhelm I. (1066-1087) bis Edward I. (1272-1307). Ein Beitrag zur Kulturgeschichte Englands im Mittelalter,1,8
22552581,1890,Ein neues Hexylamin und ein neuer Hexylalkohol,1,2
22552582,1890,Über Truxillsäurepiperidide und Truxillpiperididsäuren. Ein Beitrag zur Kenntnis der Truxillsäuren,1,5
22552583,1890,Über das sulfarsensaure Natron und dessen Verhalten zu einigen Metallsalzen.,1,3
22552584,1890,Beitrag zur Kenntnis des β-Naphtylcarbizins.,1,3
22552585,1890,Über das β-Brompropylamin,1,1
22552586,1890,Beitrag zur Kenntnis der Amidoxime,1,3
22552587,1890,Über die quantitative Bestimmung des Vanadins und die Trennung der Vanadinsäure von Phosphorsäure,1,5
22552588,1890,Einiges über die Truxillsäuren,1,2
22552589,1890,Vier mittelenglische geistliche Gedichte aus dem 13. Jahrhundert,0,0
22552590,1890,Über die Reduktion einiger aromatischer Nitrile.,1,2
22552592,1890,"Über einige Methoden zur Bestimmung und Trennung von Eisen, Mangan, Nickel und Kobalt.",1,7
22552595,1890,Über die Konstitution der sogenannten „Carbizine“,1,2
22552596,1890,Beiträge zur Kenntnis des Hydrastins,1,3
22552598,1890,Über die Einwirkung von Phosphoniumjodid auf Benzaldehyd.,1,3
22552599,1890,"Die anomale Rotationsdispersion in Eisen, Kobalt und Nickel",1,4
22552600,1890,Vorstudien zu einer Monographie der Aquifoliaceen,1,3
22552601,1890,"Über lineare homogene Differentialgleichungen zweiter Ordnung, welche Integrale besitzen, durch deren Umkehrung sich eindeutige Funktionen zweier Variablen ergeben",1,6
