University,year,discipline,territory,diss_count,fem_count,treatment,post
Berlin,1890,law,Preußen,7,0,1908,0
Berlin,1890,chemistry,Preußen,41,0,1908,0
Berlin,1890,philology,Preußen,18,0,1908,0
Berlin,1890,history,Preußen,8,0,1908,0
Berlin,1890,astronomy,Preußen,1,0,1908,0
Berlin,1890,botany,Preußen,6,0,1908,0
Berlin,1890,theology,Preußen,1,0,1908,0
Berlin,1890,philosophy,Preußen,2,0,1908,0
Berlin,1890,physics,Preußen,4,0,1908,0
Berlin,1890,mathematics,Preußen,2,0,1908,0
Berlin,1890,zoology,Preußen,2,0,1908,0
Berlin,1890,art,Preußen,1,0,1908,0
Berlin,1890,geology,Preußen,2,0,1908,0
Berlin,1890,economics,Preußen,0,0,1908,0
Berlin,1890,geography,Preußen,0,0,1908,0
Berlin,1890,agriculture,Preußen,0,0,1908,0
Berlin,1890,psychology,Preußen,0,0,1908,0
Berlin,1890,archaeology,Preußen,0,0,1908,0
Berlin,1890,medicine,Preußen,0,0,1908,0
Berlin,1890,veterinary,Preußen,0,0,1908,0
Berlin,1891,law,Preußen,10,0,1908,0
Berlin,1891,chemistry,Preußen,38,0,1908,0
Berlin,1891,philology,Preußen,24,0,1908,0
Berlin,1891,history,Preußen,15,0,1908,0
Berlin,1891,astronomy,Preußen,1,0,1908,0
Berlin,1891,botany,Preußen,8,0,1908,0
Berlin,1891,theology,Preußen,0,0,1908,0
Berlin,1891,philosophy,Preußen,4,0,1908,0
Berlin,1891,physics,Preußen,3,0,1908,0
Berlin,1891,mathematics,Preußen,0,0,1908,0
Berlin,1891,zoology,Preußen,3,0,1908,0
Berlin,1891,art,Preußen,4,0,1908,0
Berlin,1891,geology,Preußen,1,0,1908,0
Berlin,1891,economics,Preußen,3,0,1908,0
Berlin,1891,geography,Preußen,1,0,1908,0
Berlin,1891,agriculture,Preußen,0,0,1908,0
Berlin,1891,psychology,Preußen,1,0,1908,0
Berlin,1891,archaeology,Preußen,0,0,1908,0
Berlin,1891,medicine,Preußen,0,0,1908,0
Berlin,1891,veterinary,Preußen,0,0,1908,0
Berlin,1892,law,Preußen,8,0,1908,0
Berlin,1892,chemistry,Preußen,41,0,1908,0
Berlin,1892,philology,Preußen,30,0,1908,0
Berlin,1892,history,Preußen,18,0,1908,0
Berlin,1892,astronomy,Preußen,1,0,1908,0
Berlin,1892,botany,Preußen,2,0,1908,0
Berlin,1892,theology,Preußen,0,0,1908,0
Berlin,1892,philosophy,Preußen,1,0,1908,0
Berlin,1892,physics,Preußen,5,0,1908,0
Berlin,1892,mathematics,Preußen,1,0,1908,0
Berlin,1892,zoology,Preußen,1,0,1908,0
Berlin,1892,art,Preußen,0,0,1908,0
Berlin,1892,geology,Preußen,2,0,1908,0
Berlin,1892,economics,Preußen,1,0,1908,0
Berlin,1892,geography,Preußen,0,0,1908,0
Berlin,1892,agriculture,Preußen,0,0,1908,0
Berlin,1892,psychology,Preußen,0,0,1908,0
Berlin,1892,archaeology,Preußen,0,0,1908,0
Berlin,1892,medicine,Preußen,0,0,1908,0
Berlin,1892,veterinary,Preußen,0,0,1908,0
Berlin,1893,law,Preußen,3,0,1908,0
Berlin,1893,chemistry,Preußen,33,0,1908,0
Berlin,1893,philology,Preußen,22,0,1908,0
Berlin,1893,history,Preußen,8,0,1908,0
Berlin,1893,astronomy,Preußen,1,0,1908,0
Berlin,1893,botany,Preußen,2,0,1908,0
Berlin,1893,theology,Preußen,1,0,1908,0
Berlin,1893,philosophy,Preußen,2,0,1908,0
Berlin,1893,physics,Preußen,5,0,1908,0
Berlin,1893,mathematics,Preußen,4,0,1908,0
Berlin,1893,zoology,Preußen,1,0,1908,0
Berlin,1893,art,Preußen,0,0,1908,0
Berlin,1893,geology,Preußen,3,0,1908,0
Berlin,1893,economics,Preußen,0,0,1908,0
Berlin,1893,geography,Preußen,0,0,1908,0
Berlin,1893,agriculture,Preußen,0,0,1908,0
Berlin,1893,psychology,Preußen,0,0,1908,0
Berlin,1893,archaeology,Preußen,0,0,1908,0
Berlin,1893,medicine,Preußen,0,0,1908,0
Berlin,1893,veterinary,Preußen,0,0,1908,0
Berlin,1894,law,Preußen,7,0,1908,0
Berlin,1894,chemistry,Preußen,31,0,1908,0
Berlin,1894,philology,Preußen,15,0,1908,0
Berlin,1894,history,Preußen,9,0,1908,0
Berlin,1894,astronomy,Preußen,0,0,1908,0
Berlin,1894,botany,Preußen,3,0,1908,0
Berlin,1894,theology,Preußen,1,0,1908,0
Berlin,1894,philosophy,Preußen,1,0,1908,0
Berlin,1894,physics,Preußen,5,0,1908,0
Berlin,1894,mathematics,Preußen,4,0,1908,0
Berlin,1894,zoology,Preußen,3,0,1908,0
Berlin,1894,art,Preußen,1,0,1908,0
Berlin,1894,geology,Preußen,2,0,1908,0
Berlin,1894,economics,Preußen,1,0,1908,0
Berlin,1894,geography,Preußen,2,0,1908,0
Berlin,1894,agriculture,Preußen,1,0,1908,0
Berlin,1894,psychology,Preußen,0,0,1908,0
Berlin,1894,archaeology,Preußen,0,0,1908,0
Berlin,1894,medicine,Preußen,0,0,1908,0
Berlin,1894,veterinary,Preußen,0,0,1908,0
Berlin,1895,law,Preußen,6,0,1908,0
Berlin,1895,chemistry,Preußen,21,0,1908,0
Berlin,1895,philology,Preußen,18,0,1908,0
Berlin,1895,history,Preußen,7,0,1908,0
Berlin,1895,astronomy,Preußen,0,0,1908,0
Berlin,1895,botany,Preußen,1,0,1908,0
Berlin,1895,theology,Preußen,0,0,1908,0
Berlin,1895,philosophy,Preußen,1,0,1908,0
Berlin,1895,physics,Preußen,6,0,1908,0
Berlin,1895,mathematics,Preußen,2,0,1908,0
Berlin,1895,zoology,Preußen,3,0,1908,0
Berlin,1895,art,Preußen,0,0,1908,0
Berlin,1895,geology,Preußen,2,0,1908,0
Berlin,1895,economics,Preußen,2,0,1908,0
Berlin,1895,geography,Preußen,0,0,1908,0
Berlin,1895,agriculture,Preußen,0,0,1908,0
Berlin,1895,psychology,Preußen,0,0,1908,0
Berlin,1895,archaeology,Preußen,0,0,1908,0
Berlin,1895,medicine,Preußen,0,0,1908,0
Berlin,1895,veterinary,Preußen,0,0,1908,0
Berlin,1896,law,Preußen,6,0,1908,0
Berlin,1896,chemistry,Preußen,34,0,1908,0
Berlin,1896,philology,Preußen,15,0,1908,0
Berlin,1896,history,Preußen,12,0,1908,0
Berlin,1896,astronomy,Preußen,1,0,1908,0
Berlin,1896,botany,Preußen,2,0,1908,0
Berlin,1896,theology,Preußen,0,0,1908,0
Berlin,1896,philosophy,Preußen,2,0,1908,0
Berlin,1896,physics,Preußen,7,0,1908,0
Berlin,1896,mathematics,Preußen,2,0,1908,0
Berlin,1896,zoology,Preußen,1,0,1908,0
Berlin,1896,art,Preußen,4,0,1908,0
