id,year,University,faculty,discipline,female,Wikipedia,territory,Gymnasium,domestic,n_study,technical,treatment,post
22552378,1890,Berlin,Law,law,0,0,Preußen,,,,,1908,0
22552379,1890,Berlin,Law,law,0,0,Preußen,,,,,1908,0
22552384,1890,Berlin,Law,law,0,0,Preußen,,,,,1908,0
22552386,1890,Berlin,Law,law,0,0,Preußen,,,,,1908,0
22552550,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552551,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552552,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552553,1890,Berlin,Philosophy,history,0,0,Preußen,,,,,1908,0
22552554,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552555,1890,Berlin,Philosophy,history,0,1,Preußen,,,,,1908,0
22552556,1890,Berlin,Philosophy,astronomy,0,1,Preußen,,,,,1908,0
22552557,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552558,1890,Berlin,Philosophy,botany,0,0,Preußen,,,,,1908,0
22552559,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552560,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552561,1890,Berlin,Philosophy,history,0,0,Preußen,,,,,1908,0
22552562,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552563,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552564,1890,Berlin,Philosophy,philology,0,1,Preußen,,,,,1908,0
22552565,1890,Berlin,Philosophy,theology,0,1,Preußen,,,,,1908,0
22552566,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552568,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552569,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552570,1890,Berlin,Philosophy,philosophy,0,0,Preußen,,,,,1908,0
22552571,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552573,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552575,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552576,1890,Berlin,Philosophy,chemistry,0,1,Preußen,,,,,1908,0
22552577,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552578,1890,Berlin,Philosophy,philosophy,0,0,Preußen,,,,,1908,0
22552579,1890,Berlin,Philosophy,philology,0,1,Preußen,,,,,1908,0
22552580,1890,Berlin,Philosophy,history,0,0,Preußen,,,,,1908,0
22552581,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552582,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552583,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552584,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552585,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552586,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552587,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552588,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552589,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552590,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552592,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552595,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552596,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552598,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552599,1890,Berlin,Philosophy,physics,0,0,Preußen,,,,,1908,0
22552600,1890,Berlin,Philosophy,botany,0,1,Preußen,,,,,1908,0
22552601,1890,Berlin,Philosophy,mathematics,0,0,Preußen,,,,,1908,0
22552602,1890,Berlin,Philosophy,zoology,0,1,Preußen,,,,,1908,0
22552604,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552605,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552606,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552607,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552608,1890,Berlin,Philosophy,art,0,0,Preußen,,,,,1908,0
22552609,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552610,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552613,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552614,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552615,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552617,1890,Berlin,Philosophy,history,0,0,Preußen,,,,,1908,0
22552618,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552619,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552620,1890,Berlin,Philosophy,botany,0,0,Preußen,,,,,1908,0
22552621,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552623,1890,Berlin,Philosophy,geology,0,0,Preußen,,,,,1908,0
22552624,1890,Berlin,Philosophy,history,0,1,Preußen,,,,,1908,0
22552625,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552627,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552631,1890,Berlin,Philosophy,botany,0,0,Preußen,,,,,1908,0
22552632,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552635,1890,Berlin,Philosophy,physics,0,1,Preußen,,,,,1908,0
22552636,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552638,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552639,1890,Berlin,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552641,1890,Berlin,Philosophy,mathematics,0,0,Preußen,,,,,1908,0
22552642,1890,Berlin,Philosophy,physics,0,1,Preußen,,,,,1908,0
22552643,1890,Berlin,Philosophy,zoology,0,1,Preußen,,,,,1908,0
22552644,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552645,1890,Berlin,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552648,1890,Bonn,Law,law,0,0,Preußen,,,,,1908,0
22552649,1890,Bonn,Law,law,0,0,Preußen,,,,,1908,0
22552760,1890,Bonn,Philosophy,history,0,0,Preußen,,,,,1908,0
22552761,1890,Bonn,Philosophy,physics,0,0,Preußen,,,,,1908,0
22552762,1890,Bonn,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552763,1890,Bonn,Philosophy,philology,0,1,Preußen,,,,,1908,0
22552764,1890,Bonn,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552765,1890,Bonn,Philosophy,philology,0,1,Preußen,,,,,1908,0
22552766,1890,Bonn,Philosophy,economics,0,0,Preußen,,,,,1908,0
22552767,1890,Bonn,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552768,1890,Bonn,Philosophy,physics,0,0,Preußen,,,,,1908,0
22552769,1890,Bonn,Philosophy,chemistry,0,0,Preußen,,,,,1908,0
22552770,1890,Bonn,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552771,1890,Bonn,Philosophy,philology,0,1,Preußen,,,,,1908,0
22552772,1890,Bonn,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552774,1890,Bonn,Philosophy,mathematics,0,0,Preußen,,,,,1908,0
22552775,1890,Bonn,Philosophy,geography,0,0,Preußen,,,,,1908,0
22552776,1890,Breslau,Law,law,0,0,Preußen,,,,,1908,0
22552777,1890,Breslau,Law,law,0,0,Preußen,,,,,1908,0
22552802,1890,Breslau,Philosophy,history,0,0,Preußen,,,,,1908,0
22552805,1890,Breslau,Philosophy,history,0,1,Preußen,,,,,1908,0
22552806,1890,Breslau,Philosophy,botany,0,0,Preußen,,,,,1908,0
22552808,1890,Breslau,Philosophy,philosophy,0,1,Preußen,,,,,1908,0
22552810,1890,Breslau,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552812,1890,Breslau,Philosophy,history,0,0,Preußen,,,,,1908,0
22552814,1890,Breslau,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552816,1890,Breslau,Philosophy,philology,0,0,Preußen,,,,,1908,0
22552817,1890,Breslau,Philosophy,botany,0,0,Preußen,,,,,1908,0
22552819,1890,Breslau,Philosophy,philosophy,0,0,Preußen,,,,,1908,0
22552827,1890,Erlangen,Law,law,0,0,Bayern,,,,,1903,0
22552828,1890,Erlangen,Law,law,0,0,Bayern,,,,,1903,0
22552829,1890,Erlangen,Law,law,0,0,Bayern,,,,,1903,0
22552902,1890,Erlangen,Philosophy,geology,0,0,Bayern,,,,,1903,0
22552903,1890,Erlangen,Philosophy,chemistry,0,0,Bayern,,,,,1903,0
22552904,1890,Erlangen,Philosophy,chemistry,0,0,Bayern,,,,,1903,0
22552905,1890,Erlangen,Philosophy,chemistry,0,0,Bayern,,,,,1903,0
22552906,1890,Erlangen,Philosophy,chemistry,0,0,Bayern,,,,,1903,0
22552907,1890,Erlangen,Philosophy,chemistry,0,0,Bayern,,,,,1903,0
22552910,1890,Erlangen,Philosophy,chemistry,0,0,Bayern,,,,,1903,0
22552911,1890,Erlangen,Philosophy,chemistry,0,0,Bayern,,,,,1903,0
22552912,1890,Erlangen,Philosophy,chemistry,0,0,Bayern,,,,,1903,0
22552913,1890,Erlangen,Philosophy,astronomy,0,0,Bayern,,,,,1903,0
22552914,1890,Erlangen,Philosophy,geography,0,0,Bayern,,,,,1903,0
